index,e,n,u
1,548.898390,-811.167000,0.0
2,549.220412,-810.784577,0.0
3,549.542435,-810.402154,0.0
4,549.864457,-810.019730,0.0
5,550.186479,-809.637307,0.0
6,550.508502,-809.254884,0.0
7,550.830730,-808.872690,0.0
8,551.152959,-808.490495,0.0
9,551.475188,-808.108301,0.0
10,551.797416,-807.726107,0.0
11,552.119645,-807.343913,0.0
12,552.441874,-806.961719,0.0
13,552.762855,-806.578470,0.0
14,553.083836,-806.195222,0.0
15,553.404818,-805.811974,0.0
16,553.725799,-805.428726,0.0
17,554.046781,-805.045478,0.0
18,554.367762,-804.662229,0.0
19,554.688728,-804.278968,0.0
20,555.009693,-803.895707,0.0
21,555.330659,-803.512445,0.0
22,555.651625,-803.129184,0.0
23,555.972590,-802.745922,0.0
24,556.293556,-802.362661,0.0
25,556.618060,-801.982395,0.0
26,556.942564,-801.602129,0.0
27,557.267067,-801.221864,0.0
28,557.592428,-800.842332,0.0
29,557.917788,-800.462800,0.0
30,558.243148,-800.083268,0.0
31,558.568716,-799.703915,0.0
32,558.894285,-799.324562,0.0
33,559.219853,-798.945209,0.0
34,559.545472,-798.565899,0.0
35,559.871092,-798.186590,0.0
36,560.196711,-797.807280,0.0
37,560.522344,-797.427983,0.0
38,560.847977,-797.048685,0.0
39,561.173610,-796.669388,0.0
40,561.499243,-796.290090,0.0
41,561.824876,-795.910792,0.0
42,562.149071,-795.530273,0.0
43,562.473266,-795.149753,0.0
44,562.796736,-794.768621,0.0
45,563.120206,-794.387488,0.0
46,563.443676,-794.006356,0.0
47,563.767146,-793.625223,0.0
48,564.090601,-793.244077,0.0
49,564.376826,-792.906801,0.0
50,564.376826,-792.906801,0.0
51,564.700296,-792.525669,0.0
52,565.023767,-792.144537,0.0
53,565.347237,-791.763405,0.0
54,565.670707,-791.382273,0.0
55,565.994377,-791.001295,0.0
56,566.318046,-790.620318,0.0
57,566.641798,-790.239442,0.0
58,566.965549,-789.858566,0.0
59,567.289300,-789.477690,0.0
60,567.613062,-789.096828,0.0
61,567.936824,-788.715966,0.0
62,568.260586,-788.335103,0.0
63,568.584349,-787.954242,0.0
64,568.908112,-787.573382,0.0
65,569.231875,-787.192521,0.0
66,569.555638,-786.811660,0.0
67,569.879401,-786.430800,0.0
68,570.203164,-786.049939,0.0
69,570.526928,-785.669079,0.0
70,570.850691,-785.288218,0.0
71,571.174454,-784.907358,0.0
72,571.498217,-784.526497,0.0
73,571.821980,-784.145637,0.0
74,572.144071,-783.763340,0.0
75,572.466161,-783.381044,0.0
76,572.788252,-782.998747,0.0
77,573.110050,-782.616201,0.0
78,573.431848,-782.233656,0.0
79,573.753647,-781.851110,0.0
80,574.075372,-781.468508,0.0
81,574.397097,-781.085906,0.0
82,574.718822,-780.703304,0.0
83,575.040534,-780.320692,0.0
84,575.362246,-779.938080,0.0
85,575.683958,-779.555468,0.0
86,576.006104,-779.173211,0.0
87,576.328250,-778.790954,0.0
88,576.650396,-778.408697,0.0
89,576.972542,-778.026440,0.0
90,577.289943,-777.640213,0.0
91,577.607344,-777.253987,0.0
92,577.924745,-776.867760,0.0
93,578.242146,-776.481534,0.0
94,578.559548,-776.095308,0.0
95,578.876949,-775.709081,0.0
96,579.193714,-775.322330,0.0
97,579.510478,-774.935579,0.0
98,579.827243,-774.548828,0.0
99,580.144008,-774.162077,0.0
100,580.460773,-773.775326,0.0
101,580.771003,-773.383328,0.0
102,581.081233,-772.991331,0.0
103,581.391463,-772.599334,0.0
104,581.701693,-772.207337,0.0
105,582.011922,-771.815339,0.0
106,582.322152,-771.423342,0.0
107,582.620547,-771.022571,0.0
108,582.918942,-770.621800,0.0
109,583.217337,-770.221029,0.0
110,583.495647,-769.805770,0.0
111,583.773957,-769.390512,0.0
112,584.052267,-768.975253,0.0
113,584.330577,-768.559995,0.0
114,584.608887,-768.144737,0.0
115,584.864811,-767.715271,0.0
116,585.120735,-767.285805,0.0
117,585.376658,-766.856339,0.0
118,585.632582,-766.426873,0.0
119,585.888506,-765.997407,0.0
120,586.130561,-765.560020,0.0
121,586.372617,-765.122632,0.0
122,586.614673,-764.685244,0.0
123,586.856729,-764.247856,0.0
124,587.098785,-763.810469,0.0
125,587.334035,-763.369530,0.0
126,587.569285,-762.928592,0.0
127,587.804535,-762.487654,0.0
128,588.039106,-762.046443,0.0
129,588.273677,-761.605233,0.0
130,588.508248,-761.164022,0.0
131,588.742819,-760.722811,0.0
132,589.024184,-760.309556,0.0
133,589.305548,-759.896301,0.0
134,589.586912,-759.483047,0.0
135,589.868276,-759.069792,0.0
136,590.149776,-758.656629,0.0
137,590.431276,-758.243466,0.0
138,590.712776,-757.830303,0.0
139,590.994276,-757.417141,0.0
140,591.275781,-757.003981,0.0
141,591.557286,-756.590821,0.0
142,591.838791,-756.177662,0.0
143,592.120295,-755.764502,0.0
144,592.414754,-755.360564,0.0
145,592.720529,-754.965162,0.0
146,593.026305,-754.569761,0.0
147,593.332080,-754.174360,0.0
148,593.637855,-753.778958,0.0
149,593.943630,-753.383557,0.0
150,594.249405,-752.988155,0.0
151,594.561105,-752.597370,0.0
152,594.872806,-752.206584,0.0
153,595.184506,-751.815798,0.0
154,595.500762,-751.428672,0.0
155,595.817017,-751.041546,0.0
156,596.133273,-750.654420,0.0
157,596.449529,-750.267294,0.0
158,596.765784,-749.880168,0.0
159,597.082040,-749.493042,0.0
160,597.399628,-749.107004,0.0
161,597.717217,-748.720965,0.0
162,598.034805,-748.334927,0.0
163,598.352394,-747.948888,0.0
164,598.669982,-747.562849,0.0
165,598.991831,-747.180356,0.0
166,599.313680,-746.797863,0.0
167,599.635530,-746.415370,0.0
168,599.957379,-746.032876,0.0
169,600.279228,-745.650383,0.0
170,600.601077,-745.267890,0.0
171,600.923368,-744.885769,0.0
172,601.245659,-744.503648,0.0
