index,e,n,u
1,548.767207,-806.625362,0.0
2,548.822627,-806.555110,0.0
3,548.884822,-806.476497,0.0
4,549.022212,-806.303157,0.0
5,549.304439,-805.944393,0.0
6,549.687923,-805.480342,0.0
7,550.095638,-804.974910,0.0
8,550.617427,-804.323421,0.0
9,551.276485,-803.506526,0.0
10,552.045528,-802.563228,0.0
11,552.880733,-801.547359,0.0
12,553.707027,-800.535091,0.0
13,554.526851,-799.525630,0.0
14,555.440974,-798.497432,0.0
15,556.470454,-797.339961,0.0
16,557.598201,-796.058040,0.0
17,558.740596,-794.708492,0.0
18,559.869746,-793.357295,0.0
19,561.020808,-791.998592,0.0
20,562.238155,-790.558650,0.0
21,563.481990,-789.086665,0.0
22,564.712825,-787.632137,0.0
23,565.919124,-786.208675,0.0
24,567.134456,-784.775142,0.0
25,568.355159,-783.334224,0.0
26,569.562434,-781.905208,0.0
27,570.783321,-780.454646,0.0
28,572.081477,-778.925289,0.0
29,573.352718,-777.352229,0.0
30,574.612056,-775.805415,0.0
31,575.885738,-774.250972,0.0
32,577.174678,-772.686397,0.0
33,578.447627,-771.018184,0.0
34,579.711055,-769.312312,0.0
35,580.936580,-767.506404,0.0
36,582.104854,-765.712093,0.0
37,583.332271,-763.897823,0.0
38,584.567683,-761.913143,0.0
39,585.626888,-760.209773,0.0
40,586.821834,-758.296077,0.0
41,588.110164,-756.366512,0.0
42,589.465083,-754.336421,0.0
43,591.080013,-752.221248,0.0
44,592.526302,-750.462154,0.0
45,594.075008,-748.508968,0.0
46,595.693965,-746.469356,0.0
47,597.359126,-744.382808,0.0
48,599.091060,-742.207576,0.0
49,600.811702,-740.050411,0.0
50,602.578059,-737.897823,0.0
51,604.457454,-735.654292,0.0
52,606.113338,-733.717159,0.0
53,607.870967,-731.631282,0.0
54,609.670589,-729.590694,0.0
55,611.472896,-727.550777,0.0
56,613.350764,-725.323543,0.0
57,614.948421,-723.422115,0.0
58,616.693721,-721.360591,0.0
59,618.427486,-719.310603,0.0
60,620.169734,-717.248164,0.0
61,621.884334,-715.221431,0.0
62,623.614619,-713.179622,0.0
63,625.335201,-711.148067,0.0
64,627.063594,-709.106075,0.0
65,628.792842,-707.062618,0.0
66,630.481929,-705.066890,0.0
67,632.304500,-702.912227,0.0
68,633.871150,-701.059566,0.0
69,635.577510,-699.043880,0.0
70,637.286983,-697.028133,0.0
71,639.073299,-694.907832,0.0
72,640.714656,-693.166438,0.0
73,642.626704,-691.446040,0.0
74,644.533443,-689.693111,0.0
75,646.397029,-687.947017,0.0
76,648.265743,-686.208247,0.0
77,650.139949,-684.467586,0.0
78,652.004329,-682.735286,0.0
79,653.857356,-681.022945,0.0
80,655.775203,-679.098201,0.0
81,657.419063,-677.469417,0.0
82,659.191707,-675.657893,0.0
83,660.891353,-673.830135,0.0
84,662.506892,-671.949642,0.0
85,664.081294,-670.021968,0.0
86,665.814998,-668.028804,0.0
87,667.333614,-666.303279,0.0
88,668.985713,-664.410274,0.0
89,670.743831,-662.359432,0.0
90,672.236873,-660.580501,0.0
91,673.979854,-658.530818,0.0
92,675.490535,-656.751155,0.0
93,677.266719,-654.638484,0.0
94,678.991023,-652.581172,0.0
95,680.832088,-650.421260,0.0
96,682.419063,-648.551814,0.0
97,684.138057,-646.520992,0.0
98,685.849422,-644.501155,0.0
99,687.555171,-642.488582,0.0
100,689.255061,-640.482539,0.0
101,690.958369,-638.472164,0.0
102,692.647029,-636.479060,0.0
103,694.461055,-634.337764,0.0
104,696.008296,-632.511714,0.0
105,697.806331,-630.391231,0.0
106,699.353389,-628.567867,0.0
107,701.138423,-626.464046,0.0
108,702.661983,-624.668086,0.0
109,704.319453,-622.713374,0.0
110,705.938533,-620.772273,0.0
111,707.563716,-618.830562,0.0
112,709.173396,-616.912593,0.0
113,710.598140,-615.206538,0.0
114,711.869380,-613.690059,0.0
115,712.934871,-612.411617,0.0
116,713.643916,-611.569454,0.0
117,714.343440,-610.734981,0.0
118,715.035213,-609.909541,0.0
119,715.735835,-609.111141,0.0
120,716.554134,-608.202205,0.0
121,717.346309,-607.403133,0.0
122,718.245723,-606.646175,0.0
123,719.236995,-606.001338,0.0
124,720.088313,-605.595577,0.0
125,720.967525,-605.321040,0.0
126,721.833247,-605.172542,0.0
127,722.792842,-605.121150,0.0
128,723.841060,-605.225459,0.0
129,724.853267,-605.447566,0.0
130,725.839839,-605.732967,0.0
131,726.884212,-606.103755,0.0
132,727.879939,-606.563899,0.0
133,728.931575,-607.060237,0.0
134,730.099605,-607.584956,0.0
135,731.324458,-608.119319,0.0
136,732.595088,-608.754817,0.0
137,733.975276,-609.468013,0.0
138,735.394649,-610.181026,0.0
139,736.851558,-610.989375,0.0
140,738.466182,-611.874141,0.0
141,740.033565,-612.819026,0.0
142,741.525203,-613.822627,0.0
143,742.902583,-614.947017,0.0
144,744.268184,-616.063655,0.0
145,745.673824,-617.178706,0.0
146,747.164851,-618.375423,0.0
147,748.751888,-619.658260,0.0
148,750.401424,-620.961849,0.0
149,752.043941,-622.256160,0.0
150,753.656917,-623.533077,0.0
151,755.263118,-624.801082,0.0
152,756.851985,-626.034358,0.0
153,758.435664,-627.257381,0.0
154,760.058162,-628.517330,0.0
155,761.749812,-629.832515,0.0
156,763.379268,-631.100459,0.0
157,765.024043,-632.376094,0.0
158,766.690242,-633.665889,0.0
159,768.463435,-635.040096,0.0
160,770.244258,-636.420955,0.0
161,771.986629,-637.771785,0.0
162,773.701289,-639.101497,0.0
163,775.419673,-640.434688,0.0
164,777.053645,-641.702815,0.0
165,778.742244,-643.013667,0.0
166,780.415767,-644.312496,0.0
167,782.152583,-645.660213,0.0
168,783.803401,-646.941036,0.0
169,785.434749,-648.206600,0.0
170,787.044612,-649.455440,0.0
171,788.643245,-650.695552,0.0
172,790.229060,-651.925777,0.0
173,791.801265,-653.145320,0.0
174,793.372310,-654.364009,0.0
175,794.914058,-655.559871,0.0
176,796.428767,-656.734981,0.0
177,797.941402,-657.908138,0.0
178,799.501643,-659.118038,0.0
179,801.138973,-660.388667,0.0
180,802.760555,-661.639278,0.0
181,804.375850,-662.876094,0.0
182,805.948604,-664.084346,0.0
183,807.528377,-665.297969,0.0
184,809.095393,-666.500911,0.0
185,810.664302,-667.705440,0.0
186,812.303767,-668.964717,0.0
187,814.017268,-670.281551,0.0
188,815.691951,-671.569209,0.0
189,817.346797,-672.837276,0.0
190,818.982845,-674.116145,0.0
191,820.599727,-675.385555,0.0
192,822.197749,-676.634090,0.0
193,823.799312,-677.886409,0.0
194,825.368892,-679.116573,0.0
195,826.937312,-680.333064,0.0
196,828.482723,-681.527889,0.0
197,830.021785,-682.721370,0.0
198,831.551997,-683.907100,0.0
199,833.053401,-685.069759,0.0
200,834.563533,-686.239192,0.0
201,836.023921,-687.369991,0.0
202,837.352351,-688.398433,0.0
203,838.411128,-689.217281,0.0
204,839.411617,-689.991878,0.0
205,840.430599,-690.780940,0.0
206,841.433223,-691.557002,0.0
207,842.530147,-692.406062,0.0
208,843.659663,-693.280330,0.0
209,844.761897,-694.133846,0.0
210,845.864925,-694.987666,0.0
211,846.948909,-695.818172,0.0
212,847.982173,-696.681453,0.0
213,849.006526,-697.548274,0.0
214,850.025935,-698.388484,0.0
215,851.043330,-699.227352,0.0
216,851.987605,-700.067928,0.0
217,852.830867,-700.978450,0.0
218,853.609187,-701.913814,0.0
219,854.361995,-702.998714,0.0
220,855.097530,-704.215877,0.0
221,855.737300,-705.484920,0.0
222,856.242061,-706.756343,0.0
223,856.643184,-708.035701,0.0
224,856.941341,-709.329036,0.0
225,857.198116,-710.614192,0.0
226,857.385921,-711.864986,0.0
227,857.445735,-712.835506,0.0
228,857.423824,-714.257869,0.0
229,857.418453,-715.470210,0.0
230,857.426692,-716.653560,0.0
231,857.378474,-717.841731,0.0
232,857.269405,-719.056819,0.0
233,857.136592,-720.101253,0.0
234,856.959041,-721.333919,0.0
235,856.669063,-722.668575,0.0
236,856.237849,-723.979976,0.0
237,855.657893,-725.187740,0.0
238,854.852596,-726.422420,0.0
239,853.867854,-727.680293,0.0
240,852.780208,-728.837276,0.0
241,851.602168,-729.859615,0.0
242,850.454280,-730.896907,0.0
243,849.370418,-731.958858,0.0
244,848.402217,-733.074886,0.0
245,847.565120,-734.242061,0.0
246,846.708614,-735.445430,0.0
247,845.759395,-736.740230,0.0
248,844.742671,-738.159664,0.0
249,843.645320,-739.583919,0.0
250,842.581661,-740.972286,0.0
251,841.503902,-742.405147,0.0
252,840.322139,-743.887019,0.0
253,839.092708,-745.356990,0.0
254,837.891719,-746.828487,0.0
255,836.685481,-748.305782,0.0
256,835.408687,-749.864620,0.0
257,834.121822,-751.437312,0.0
258,832.864497,-752.963130,0.0
259,831.581538,-754.475093,0.0
260,830.314815,-755.984065,0.0
261,828.996089,-757.556087,0.0
262,827.650752,-759.155330,0.0
263,826.311885,-760.745418,0.0
264,824.958431,-762.352962,0.0
265,823.556087,-764.018489,0.0
266,822.187312,-765.644039,0.0
267,820.830745,-767.254329,0.0
268,819.474666,-768.862178,0.0
269,818.127803,-770.454158,0.0
270,816.799983,-772.023067,0.0
271,815.497127,-773.572139,0.0
272,814.209590,-775.103023,0.0
273,812.920100,-776.635799,0.0
274,811.651973,-778.138057,0.0
275,810.388057,-779.637386,0.0
276,809.155086,-781.100398,0.0
277,807.932063,-782.550350,0.0
278,806.707576,-783.998348,0.0
279,805.512752,-785.414241,0.0
280,804.252132,-786.908748,0.0
281,803.179073,-788.180171,0.0
282,802.020931,-789.542537,0.0
283,800.945735,-790.927059,0.0
284,800.022945,-792.362850,0.0
285,799.098201,-793.782588,0.0
286,798.203609,-795.210811,0.0
287,797.283260,-796.669124,0.0
288,796.283992,-798.257320,0.0
289,795.216304,-799.943477,0.0
290,794.212825,-801.656368,0.0
291,793.173640,-803.409786,0.0
292,791.949336,-805.209468,0.0
293,790.810603,-806.858699,0.0
294,789.677547,-808.552730,0.0
295,788.474300,-810.285518,0.0
296,787.149898,-811.938167,0.0
297,785.849544,-813.588741,0.0
298,784.583186,-815.176387,0.0
299,783.296321,-816.760249,0.0
300,782.006038,-818.313594,0.0
301,780.716853,-819.845577,0.0
302,779.440181,-821.348140,0.0
303,778.133540,-822.821651,0.0
304,776.861446,-824.294978,0.0
305,775.616634,-825.751827,0.0
306,774.288142,-827.295406,0.0
307,772.849849,-828.968623,0.0
308,771.345271,-830.720210,0.0
309,769.834834,-832.478084,0.0
310,768.358577,-834.187984,0.0
311,766.903316,-835.922298,0.0
312,765.463435,-837.635616,0.0
313,764.107600,-839.242549,0.0
314,762.561763,-841.077754,0.0
315,760.981563,-842.957271,0.0
316,759.311397,-844.946712,0.0
317,757.529353,-847.068782,0.0
318,755.669307,-849.281856,0.0
319,753.778438,-851.529415,0.0
320,751.905025,-853.756160,0.0
321,750.036556,-855.977168,0.0
322,748.149104,-858.220699,0.0
323,746.288142,-860.432857,0.0
324,744.300349,-862.796260,0.0
325,742.264522,-865.211665,0.0
326,740.220577,-867.570430,0.0
327,738.177608,-869.941402,0.0
328,736.129512,-872.316280,0.0
329,734.170345,-874.660152,0.0
330,732.249812,-877.062618,0.0
331,730.286678,-879.409786,0.0
332,728.307552,-881.719478,0.0
333,726.353084,-884.046687,0.0
334,724.411556,-886.315852,0.0
335,722.462154,-888.598934,0.0
336,720.525447,-890.870479,0.0
337,718.584956,-893.155696,0.0
338,716.576656,-895.266841,0.0
339,714.379695,-897.147212,0.0
340,712.087520,-898.887203,0.0
341,709.911494,-900.769344,0.0
342,707.785091,-902.682369,0.0
343,705.651668,-904.537288,0.0
344,703.583431,-906.430660,0.0
345,701.701900,-908.468990,0.0
346,699.834712,-910.543453,0.0
347,698.086177,-912.665035,0.0
348,696.332210,-914.761470,0.0
349,694.576350,-916.845882,0.0
350,692.815974,-918.943355,0.0
351,691.029353,-921.073665,0.0
352,689.432857,-922.976253,0.0
353,687.570064,-925.195796,0.0
354,686.035823,-927.023982,0.0
355,684.499385,-928.854732,0.0
356,683.389461,-930.177059,0.0
357,682.176082,-931.622798,0.0
358,681.047542,-932.967708,0.0
359,680.016231,-934.205074,0.0
360,678.798457,-935.615413,0.0
361,677.686275,-936.718868,0.0
362,676.304744,-937.809566,0.0
363,675.042476,-938.601131,0.0
364,673.555721,-939.325008,0.0
365,672.268916,-939.746089,0.0
366,670.827754,-940.021236,0.0
367,669.549495,-940.082393,0.0
368,668.432002,-939.984310,0.0
369,667.207393,-939.702510,0.0
370,666.217220,-939.358699,0.0
371,665.097957,-938.902767,0.0
372,664.063289,-938.472408,0.0
373,662.691402,-937.911311,0.0
374,661.395015,-937.374324,0.0
375,659.754756,-936.686702,0.0
376,658.326534,-935.985774,0.0
377,656.691829,-935.150264,0.0
378,655.342525,-934.414241,0.0
379,653.758174,-933.574092,0.0
380,652.445979,-932.841670,0.0
381,651.033199,-931.862911,0.0
382,649.948787,-930.915950,0.0
383,648.800044,-929.726680,0.0
384,647.758052,-928.645259,0.0
385,646.787288,-927.667049,0.0
386,645.721675,-926.636531,0.0
387,644.573970,-925.556941,0.0
388,643.614925,-924.640560,0.0
389,642.443355,-923.637081,0.0
390,641.463374,-922.776790,0.0
391,640.339778,-921.783504,0.0
392,639.282405,-920.907649,0.0
393,637.927303,-919.759212,0.0
394,636.665157,-918.686458,0.0
395,635.150752,-917.403377,0.0
396,633.862727,-916.312373,0.0
397,632.378597,-915.054805,0.0
398,631.122920,-913.990962,0.0
399,629.663692,-912.754817,0.0
400,628.394893,-911.680965,0.0
401,626.880183,-910.399532,0.0
402,625.603328,-909.319393,0.0
403,624.118648,-908.062251,0.0
404,622.878413,-907.010372,0.0
405,621.627437,-905.949825,0.0
406,620.480586,-904.978145,0.0
407,619.500484,-904.147884,0.0
408,618.354121,-903.176936,0.0
409,617.388301,-902.359798,0.0
410,616.269527,-901.413204,0.0
411,615.329036,-900.618099,0.0
412,614.240230,-899.697261,0.0
413,613.313472,-898.912227,0.0
414,612.256526,-898.017452,0.0
415,611.367671,-897.264461,0.0
416,610.323543,-896.379146,0.0
417,609.450374,-895.646846,0.0
418,608.531856,-894.844600,0.0
419,607.619502,-893.917293,0.0
420,606.964351,-893.110408,0.0
421,606.342525,-892.250301,0.0
422,605.840205,-891.363582,0.0
423,605.471736,-890.466304,0.0
424,605.232112,-889.580196,0.0
425,605.059749,-888.759029,0.0
426,604.989070,-887.969112,0.0
427,605.021663,-887.230037,0.0
428,605.098140,-886.528438,0.0
429,605.207332,-885.877986,0.0
430,605.390804,-885.260738,0.0
431,605.625484,-884.524715,0.0
432,605.883235,-883.564998,0.0
433,606.249629,-882.488155,0.0
434,606.661800,-881.438777,0.0
435,607.107112,-880.439266,0.0
436,607.630244,-879.545162,0.0
437,608.224910,-878.794307,0.0
438,608.892696,-878.097164,0.0
439,609.545406,-877.383296,0.0
440,610.170161,-876.648799,0.0
441,610.874873,-875.867854,0.0
442,611.698055,-874.966060,0.0
443,612.563777,-873.962764,0.0
444,613.408138,-872.954952,0.0
445,614.265926,-871.964839,0.0
446,615.177608,-870.906246,0.0
447,616.176021,-869.727290,0.0
448,617.262325,-868.409419,0.0
449,618.425288,-867.014339,0.0
450,619.697932,-865.489253,0.0
451,621.058406,-863.858821,0.0
452,622.513667,-862.116451,0.0
453,624.067134,-860.258357,0.0
454,625.712703,-858.291377,0.0
455,627.464351,-856.198665,0.0
456,629.285152,-854.024776,0.0
457,631.194637,-851.747188,0.0
458,633.224849,-849.328304,0.0
459,635.329890,-846.822627,0.0
460,637.530208,-844.205745,0.0
461,639.837276,-841.464351,0.0
462,642.239314,-838.627803,0.0
463,644.581783,-835.741145,0.0
464,646.920833,-832.830074,0.0
465,649.283443,-830.009761,0.0
466,651.545894,-827.335933,0.0
467,653.601070,-824.922359,0.0
468,655.414180,-822.818416,0.0
469,657.031490,-820.957210,0.0
470,658.638240,-819.038081,0.0
471,660.344783,-816.994014,0.0
472,662.157649,-814.819515,0.0
473,664.045894,-812.544978,0.0
474,665.859615,-810.344295,0.0
475,667.720210,-808.128963,0.0
476,669.595577,-805.909175,0.0
477,671.435481,-803.713619,0.0
478,673.291499,-801.501827,0.0
479,675.099971,-799.379573,0.0
480,676.924251,-797.226924,0.0
481,678.622432,-795.208431,0.0
482,680.097102,-793.462215,0.0
483,681.334285,-791.995906,0.0
484,682.320552,-790.855708,0.0
485,683.100642,-789.982784,0.0
486,683.640498,-789.375362,0.0
487,683.930110,-789.069270,0.0
488,683.970332,-789.039180,0.0
489,683.940303,-789.064021,0.0
490,683.929927,-789.072933,0.0
491,683.925288,-789.080867,0.0
492,683.919185,-789.088558,0.0
493,683.913448,-789.094844,0.0
494,683.909358,-789.099788,0.0
495,683.906245,-789.103511,0.0
496,683.904048,-789.106319,0.0
