index,e,n,u
1,545.595027,-805.859065,0.0
2,545.595027,-805.859004,0.0
3,545.595027,-805.859065,0.0
4,545.595027,-805.859065,0.0
5,545.595027,-805.859126,0.0
6,545.595027,-805.859065,0.0
7,545.595027,-805.859004,0.0
8,545.596614,-805.856929,0.0
9,545.619319,-805.828609,0.0
10,545.675533,-805.760555,0.0
11,545.769222,-805.648128,0.0
12,545.952693,-805.429805,0.0
13,546.155147,-805.190242,0.0
14,546.441158,-804.855403,0.0
15,546.727779,-804.517574,0.0
16,547.023006,-804.174922,0.0
17,547.411067,-803.721797,0.0
18,547.949702,-803.088863,0.0
19,548.620357,-802.304866,0.0
20,549.304256,-801.475826,0.0
21,550.012325,-800.643916,0.0
22,551.016658,-799.463435,0.0
23,551.976436,-798.329891,0.0
24,552.962703,-797.168086,0.0
25,553.817928,-796.159541,0.0
26,554.669612,-795.153621,0.0
27,555.754817,-793.872371,0.0
28,556.844722,-792.585994,0.0
29,557.933650,-791.301082,0.0
30,558.902034,-790.159175,0.0
31,559.843440,-789.049922,0.0
32,561.130916,-787.534725,0.0
33,562.256892,-786.211055,0.0
34,563.473872,-784.781673,0.0
35,564.663875,-783.377376,0.0
36,565.687129,-782.155635,0.0
37,566.679866,-780.972530,0.0
38,567.871028,-779.549739,0.0
39,569.046748,-778.136958,0.0
40,570.214656,-776.713619,0.0
41,571.122249,-775.619441,0.0
42,572.187312,-774.316036,0.0
43,573.301814,-772.892391,0.0
44,574.384822,-771.450191,0.0
45,575.298152,-770.215755,0.0
46,576.163142,-769.022701,0.0
47,577.265071,-767.423152,0.0
48,578.155818,-766.106868,0.0
49,579.123836,-764.670406,0.0
50,580.074458,-763.205074,0.0
51,580.864558,-761.958064,0.0
52,581.797603,-760.502315,0.0
53,582.853633,-758.842342,0.0
54,583.956538,-757.194026,0.0
55,585.109554,-755.464595,0.0
56,586.147578,-753.930660,0.0
57,587.177913,-752.463130,0.0
58,588.671687,-750.395381,0.0
59,589.899776,-748.713863,0.0
60,591.347224,-746.756160,0.0
61,592.817012,-744.817317,0.0
62,594.180782,-743.155757,0.0
63,595.570918,-741.628291,0.0
64,597.408931,-739.604610,0.0
65,598.891292,-737.846187,0.0
66,600.467281,-735.934444,0.0
67,602.120357,-734.019222,0.0
68,603.516475,-732.388240,0.0
69,604.857112,-730.812557,0.0
70,606.664607,-728.698787,0.0
71,608.103938,-726.944393,0.0
72,609.706111,-724.988521,0.0
73,611.314998,-723.037898,0.0
74,612.914790,-721.095760,0.0
75,614.285152,-719.430232,0.0
76,615.601863,-717.830013,0.0
77,617.343318,-715.713985,0.0
78,618.755428,-713.999568,0.0
79,620.338802,-712.079280,0.0
80,621.795711,-710.313777,0.0
81,623.094051,-708.739436,0.0
82,624.713618,-706.774776,0.0
83,626.229671,-704.935420,0.0
84,627.776912,-703.058284,0.0
85,629.338008,-701.158809,0.0
86,630.714351,-699.509212,0.0
87,632.095882,-697.940120,0.0
88,634.022029,-695.828792,0.0
89,635.676692,-694.069209,0.0
90,637.683589,-692.023799,0.0
91,639.699825,-690.068355,0.0
92,641.402400,-688.392146,0.0
93,643.033382,-686.781429,0.0
94,645.157527,-684.688533,0.0
95,646.928706,-682.943355,0.0
96,648.885066,-681.016170,0.0
97,650.822688,-679.110652,0.0
98,652.812862,-677.154842,0.0
99,654.500911,-675.494747,0.0
100,656.124141,-673.899288,0.0
101,658.266536,-671.765804,0.0
102,659.872371,-669.927242,0.0
103,661.658931,-667.902644,0.0
104,663.453365,-665.899288,0.0
105,664.979427,-664.197505,0.0
106,666.418391,-662.509517,0.0
107,668.302913,-660.226070,0.0
108,669.851619,-658.380000,0.0
109,671.570125,-656.346004,0.0
110,673.245540,-654.335079,0.0
111,674.708492,-652.552486,0.0
112,676.089656,-650.934444,0.0
113,677.815669,-648.952754,0.0
114,679.470454,-647.031001,0.0
115,681.124019,-645.107601,0.0
116,682.820247,-643.138179,0.0
117,684.256526,-641.470332,0.0
118,685.608150,-639.900386,0.0
119,687.433162,-637.794978,0.0
120,688.863887,-636.048824,0.0
121,690.442683,-634.069820,0.0
122,692.041072,-632.096309,0.0
123,693.610042,-630.187801,0.0
124,694.961177,-628.580074,0.0
125,696.302181,-626.972041,0.0
126,697.942989,-625.002376,0.0
127,699.469173,-623.173091,0.0
128,701.058406,-621.268184,0.0
129,702.619991,-619.394832,0.0
130,703.955989,-617.791316,0.0
131,705.161983,-616.344478,0.0
132,706.573177,-614.656490,0.0
133,707.655269,-613.349422,0.0
134,708.941890,-611.804317,0.0
135,710.191585,-610.299739,0.0
136,711.224666,-609.139949,0.0
137,712.280757,-607.945491,0.0
138,713.604732,-606.636958,0.0
139,714.941646,-605.457637,0.0
140,716.372676,-604.353816,0.0
141,717.855647,-603.394283,0.0
142,719.186946,-602.738338,0.0
143,720.763423,-602.143550,0.0
